sample	r_nnls	r_simplex	l1	l2
CHS115	0.000139076427389245	0.000209573011343331	0.000985220936063735	0.000696656404857625
CHS116	0.000492305121412234	0.000689914743591726	0.000226510495579584	0.000160167107434249
CHS118	0.00083747096385386	0.00108607143720663	0.000594624264263932	0.000420462849519088
CHS119	0.000304411262079199	0.000430012516477954	0.000692156667153519	0.000489428672987734
CHS121	0.000361175170740513	0.000469418676883063	0.00147292628704179	0.00104151616575517
CHS122	0.000272047176457242	0.000385695075120823	0.000693887452231274	0.00049065252285299
CHS124	0.00155130402456965	0.00181427967738186	0.00125244605867001	0.000885613101155929
CHS127	0.000318274469528906	0.000474121814175211	0.000397717596154156	0.000281228809237817
CHS128	0.00162142102381237	0.00190751615818582	0.00112869469775687	0.00079810767467318
CHS130	0.000385896459820584	0.000559469305061611	0.00028292402308051	0.000200057495280808
CHS131	0.000316366143374956	0.000442426623313299	0.000980845172681263	0.000693562272897011
CHS133	0.000233612156408472	0.000203023363992015	0.00238013317825338	0.00168300831047005
CHS134	0.0000720384376960111	0.00015080770618691	0.000101557790367151	0.000071812202250934
CHS136	0.000746416297530401	0.00089169012541292	0.00172239555658314	0.00121791757794552
CHS137	0.000178639182122877	0.000222543237804122	0.00140638944848373	0.000994467516012057
CHS139	0.000119142456301759	0.0000931049090795533	0.00194788034090967	0.00137735939799719
CHS140	0.0000282535721282846	0.0000258106349385206	0.000558525592949527	0.000394937234240848
CHS142	0.000126189488601678	0.000101185978254565	0.00158483532358955	0.00112064780437414
CHS143	0.000410636778548629	0.000582344401037216	0.000449738101867946	0.000318012861588791
CHS145	0.000118463863723486	0.000178847456508302	0.000754248250217839	0.000533334052427121
CHS146	0.000138685775365743	0.0000772407098879538	0.00171902665442327	0.00121553540438312
CHS148	0.00203408172809636	0.00232434171865346	0.00143176083773801	0.00101240779740188
CHS149	0.000516060454325167	0.000637581756291874	0.00139831721047986	0.000988759581780165
CHS151	0.00116918842890242	0.00132259103424233	0.0022802970960183	0.00161241353971454
CHS152	0.00025576267876208	0.000306489478311919	0.00165537254288417	0.00117052515046341
CHS154	0.000938621526072807	0.00113096518026946	0.00144135124033714	0.00101918923611403
CHS155	0.00120932195949576	0.00145797339447029	0.00100285854623511	0.000709128078613728
CHS157	0.0000496231595455636	0.0000841688874802207	0.000586699687899275	0.000414859327833609
CHS160	0.000066582106928592	0.000140941435016837	0	0
CHS161	0.00153445613811894	0.00184242126195328	0.000693577290029147	0.000490433205056599
CHS163	0.000218152177226959	0.000291435011737384	0.00120955291884293	0.000855283071117816
CHS164	0.0000570951283886736	0.000135666887747343	0.0000562730438490814	0.0000373438897674551
CHS167	0.00147537764408176	0.00172926754843561	0.00141821823482116	0.00100283173104446
CHS169	0.000534094215470823	0.000716386549197755	0.000634776726563726	0.000448854927892609
CHS170	0.00023492835363802	0.000310492839380322	0.00100931509561353	0.000713693548462277
CLM1	0.000111709400239738	0.0000343558838820167	0.000704758885929732	0.00045617771585501
